labelDataProcessPurpose;UNUSED;""
labelDataSubject;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 Business Object in IFS Applications classified as a possible "Data Subject" (according to Personal Data Protection legislation). Data Subjects are natural persons who can be identified, directly or indirectly, by ID, location online identifier or one or more physical factors (physical, physiological, genetic, mental, economic, cultural, or social identity).\f0\par
}"
tblDataProcessPurpose_colnPersDataManagementId;UNUSED;""
tblDataProcessPurpose_colsPersonalData;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 The list of data classified as personal information stored in IFS Applications.\f0\par
}"
tblDataProcessPurpose_colsSelected;USED;"{\rtf1\ansi\ansicpg1252{\fonttbl{\f0}}\fs20\pard\f0 If \b Selected\b0 , it will be allowed to store personal data of the selected data subject for the currently configured purpose.\f0\par
}"
